bairro_cod,bairro,bairro_area,total_pois,arts_and_culture,education,facilities,financial,healthcare,historic,leisure_and_entertainment,natural,public_places,shops,sustenance,transport,tourism,accomodation,animals,service,zona
0,MANDAQUI,9.964515197407835,232.0,7.0,6.0,5.0,2.0,3.0,1.0,82.0,4.0,1.0,22.0,8.0,89.0,2.0,0.0,0.0,0.0,NORTE
1,MARSILAC,156.9636231601101,,,,,,,,,,,,,,,,,,SUL
2,MOEMA,6.833626027952979,1059.0,19.0,10.0,18.0,21.0,24.0,3.0,210.0,4.0,3.0,59.0,98.0,566.0,9.0,7.0,3.0,5.0,SUL
3,PARQUE DO CARMO,11.672627161161543,131.0,1.0,5.0,11.0,0.0,4.0,0.0,56.0,13.0,6.0,8.0,7.0,18.0,0.0,0.0,0.0,2.0,LESTE
4,PERDIZES,4.766290381716785,526.0,8.0,7.0,7.0,7.0,20.0,0.0,76.0,2.0,4.0,41.0,65.0,277.0,0.0,5.0,2.0,5.0,OESTE
5,PIRITUBA,12.860591067351965,229.0,18.0,12.0,0.0,8.0,7.0,1.0,117.0,1.0,1.0,19.0,7.0,37.0,1.0,0.0,0.0,0.0,NORTE
6,PONTE RASA,4.97714764301695,104.0,3.0,6.0,11.0,3.0,1.0,0.0,46.0,0.0,3.0,17.0,4.0,10.0,0.0,0.0,0.0,0.0,LESTE
7,RAPOSO TAVARES,9.342053249662843,188.0,8.0,14.0,7.0,2.0,4.0,1.0,59.0,1.0,6.0,9.0,3.0,74.0,0.0,0.0,0.0,0.0,OESTE
8,SANTO AMARO,12.064920385679637,789.0,22.0,40.0,11.0,33.0,50.0,4.0,155.0,0.0,11.0,93.0,51.0,296.0,2.0,4.0,7.0,10.0,SUL
9,SAO DOMINGOS,7.424046375152305,109.0,8.0,11.0,0.0,5.0,3.0,0.0,51.0,1.0,1.0,8.0,8.0,11.0,1.0,1.0,0.0,0.0,NORTE
10,SAO MATEUS,9.681531017311874,112.0,2.0,2.0,7.0,2.0,3.0,0.0,52.0,0.0,1.0,4.0,2.0,36.0,0.0,0.0,0.0,1.0,LESTE
11,SAO MIGUEL,6.519686890440386,67.0,2.0,2.0,0.0,7.0,2.0,0.0,33.0,2.0,2.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,LESTE
12,SAUDE,7.012352508756516,704.0,14.0,19.0,9.0,29.0,32.0,0.0,101.0,1.0,6.0,140.0,73.0,252.0,0.0,8.0,7.0,13.0,SUL
13,SE,1.6514684344557018,713.0,22.0,7.0,30.0,40.0,12.0,9.0,42.0,3.0,15.0,275.0,95.0,134.0,14.0,7.0,3.0,5.0,CENTRO
14,TUCURUVI,7.106504671459386,227.0,9.0,7.0,0.0,10.0,12.0,0.0,71.0,0.0,4.0,32.0,20.0,56.0,0.0,0.0,4.0,2.0,NORTE
15,VILA LEOPOLDINA,5.253256065460831,176.0,1.0,7.0,1.0,0.0,3.0,0.0,66.0,1.0,5.0,22.0,9.0,58.0,1.0,0.0,1.0,1.0,OESTE
16,JARDIM ANGELA,28.127232027098525,190.0,7.0,20.0,1.0,0.0,10.0,0.0,77.0,10.0,4.0,23.0,4.0,31.0,0.0,3.0,0.0,0.0,SUL
17,VILA SONIA,7.509089035883427,278.0,6.0,13.0,1.0,10.0,7.0,1.0,79.0,2.0,2.0,27.0,11.0,117.0,1.0,1.0,0.0,0.0,OESTE
18,ANHANGUERA,25.157738559604123,67.0,2.0,5.0,1.0,0.0,0.0,0.0,33.0,15.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,NORTE
19,ARTUR ALVIM,4.912100044478806,118.0,5.0,14.0,11.0,0.0,3.0,0.0,61.0,1.0,3.0,9.0,1.0,9.0,0.0,1.0,0.0,0.0,LESTE
20,BRAS,2.733012779695671,1533.0,9.0,10.0,6.0,17.0,5.0,0.0,20.0,0.0,4.0,1246.0,66.0,139.0,0.0,9.0,0.0,2.0,LESTE
21,CACHOEIRINHA,10.183298242186668,115.0,6.0,6.0,1.0,0.0,4.0,0.0,39.0,2.0,2.0,24.0,10.0,14.0,0.0,1.0,1.0,5.0,NORTE
22,CAMBUCI,2.955573390808267,207.0,5.0,3.0,4.0,10.0,8.0,0.0,38.0,0.0,4.0,23.0,12.0,97.0,0.0,2.0,0.0,1.0,CENTRO
